emp_no,first_name,last_name,gender,dept_no,dept_name,salary,to_date
10001,Georgi,Facello,M,d005,Development,60117,9999-01-01
10198,Pranav,Furedi,M,d005,Development,44076,9999-01-01
10215,Xiaobin,Duclos,M,d007,Sales,43944,9999-01-01
10224,Leon,Trogemann,M,d004,Production,40000,9999-01-01
10233,Lein,Vendrig,F,d003,Human Resources,40000,9999-01-01
10258,Basil,Ishibashi,F,d005,Development,66280,9999-01-01
10272,Yishai,Cannane,M,d002,Finance,58070,9999-01-01
10282,Hercules,Benzmuller,M,d004,Production,40000,9999-01-01
10283,Kauko,Birjandi,M,d005,Development,40000,9999-01-01
10326,Masali,Czap,F,d008,Research,40000,9999-01-01
10340,Djelloul,Laventhal,M,d001,Marketing,68132,9999-01-01
10347,Pradeep,Kaminger,M,d008,Research,42199,9999-01-01
10355,Satyanarayana,Cochrane,M,d007,Sales,70434,9999-01-01
10356,Vasilis,Standera,M,d008,Research,45376,9999-01-01
10364,Nakhoon,Dengi,M,d004,Production,51401,9999-01-01
10372,Anneli,Frijda,F,d004,Production,54505,9999-01-01
10387,Parto,Wrigley,F,d009,Customer Service,61374,9999-01-01
10396,Sibyl,Rahier,M,d005,Development,40393,9999-01-01
10402,Volkmar,Ebeling,M,d006,Quality Management,40000,9999-01-01
10404,Prodip,Rosti,F,d005,Development,51647,9999-01-01
10426,Arunas,Luce,F,d005,Development,65757,9999-01-01
10429,Martien,Improta,F,d005,Development,40000,9999-01-01
10432,Hisao,Tiemann,F,d009,Customer Service,40000,9999-01-01
10451,Bodh,Ranta,F,d004,Production,46275,9999-01-01
10453,Tsvetan,Matzel,F,d009,Customer Service,40000,9999-01-01
10463,Ung,Zaiane,M,d007,Sales,66480,9999-01-01
10486,Amstein,Kossowski,F,d006,Quality Management,71692,9999-01-01
10494,Yakkov,Servieres,F,d004,Production,50094,9999-01-01
10504,Xiong,Varker,M,d007,Sales,43931,9999-01-01
10512,Udi,Gihr,M,d003,Human Resources,40000,9999-01-01
10522,Marke,Cesareni,F,d003,Human Resources,40000,9999-01-01
10548,Ramalingam,Gunderson,M,d001,Marketing,90631,9999-01-01
10004,Chirstian,Koblick,M,d004,Production,40054,9999-01-01
10564,Jianhao,Thisen,M,d004,Production,46660,9999-01-01
10009,Sumant,Peac,F,d006,Quality Management,60929,9999-01-01
10018,Kazuhide,Peha,F,d004,Production,55881,9999-01-01
10035,Alain,Chappelet,M,d004,Production,41538,9999-01-01
10623,Aleksander,Danlos,F,d008,Research,60268,9999-01-01
10628,Krisda,Krogh,M,d005,Development,41650,9999-01-01
10631,Inderjeet,Chaudhuri,M,d005,Development,40000,9999-01-01
10053,Sanjiv,Zschoche,F,d007,Sales,67854,9999-01-01
10642,Hirochika,Narlikar,M,d005,Development,40000,9999-01-01
10653,Otmar,Feinberg,M,d005,Development,40000,9999-01-01
10058,Berhard,McFarlin,M,d001,Marketing,52787,9999-01-01
10671,Parviz,Rebaine,M,d003,Human Resources,74037,9999-01-01
10066,Kwee,Schusler,M,d005,Development,69736,9999-01-01
10676,Valeri,Danley,F,d005,Development,58226,9999-01-01
10693,Berhard,Daescu,F,d009,Customer Service,40000,9999-01-01
10067,Claudi,Stavenow,M,d006,Quality Management,44642,9999-01-01
10070,Reuven,Garigliano,M,d008,Research,55999,9999-01-01
10702,Bader,Szemeredi,M,d005,Development,46581,9999-01-01
10072,Hironoby,Sidou,F,d005,Development,40000,9999-01-01
10076,Erez,Ritzmann,F,d005,Development,47319,9999-01-01
10088,Jungsoon,Syrzycki,F,d009,Customer Service,65957,9999-01-01
10718,Adib,Rullman,M,d005,Development,75473,9999-01-01
10726,Zita,Minakawa,F,d005,Development,46315,9999-01-01
10100,Hironobu,Haraldson,F,d003,Human Resources,54398,9999-01-01
10734,Sachar,Erdi,M,d004,Production,47377,9999-01-01
10103,Akemi,Birch,M,d005,Development,68158,9999-01-01
10126,Kayoko,Valtorta,M,d009,Customer Service,40000,9999-01-01
10745,Poorav,Ranze,F,d004,Production,40000,9999-01-01
10749,King,Brendel,M,d004,Production,60829,9999-01-01
10767,Monique,Doering,F,d007,Sales,40651,9999-01-01
10768,Ishfaq,Candan,M,d004,Production,65717,9999-01-01
10778,Selwyn,Merey,M,d001,Marketing,64996,9999-01-01
10129,Armond,Peir,M,d005,Development,40000,9999-01-01
10130,Nishit,Casperson,M,d004,Production,40000,9999-01-01
10134,Diederik,Siprelle,M,d004,Production,40000,9999-01-01
10138,Perry,Shimshoni,M,d006,Quality Management,53574,9999-01-01
10791,Tadahiko,Sgarro,M,d005,Development,40000,9999-01-01
10150,Zhenbing,Perng,F,d005,Development,70122,9999-01-01
10795,Supot,Naudin,M,d007,Sales,84206,9999-01-01
10808,Chenxi,Leijenhorst,M,d005,Development,40000,9999-01-01
10153,Heekeun,Majewski,M,d005,Development,54246,9999-01-01
10835,Tomoyuki,Kermarrec,M,d004,Production,40000,9999-01-01
10157,Nigel,Aloisi,M,d005,Development,48770,9999-01-01
10836,Jianhua,Leivant,F,d009,Customer Service,65502,9999-01-01
10844,Dipayan,Koprowski,M,d005,Development,40000,9999-01-01
10927,Gal,Scallan,M,d001,Marketing,51819,9999-01-01
10847,Theirry,Danley,M,d008,Research,40000,9999-01-01
10848,Fen,Bratsberg,F,d004,Production,50475,9999-01-01
10878,Lakshmi,Deville,M,d007,Sales,72102,9999-01-01
10879,Muzhong,Chleq,F,d005,Development,65651,9999-01-01
10883,Shimshon,Champarnaud,M,d004,Production,40000,9999-01-01
10909,Georgi,Atchley,M,d005,Development,80935,9999-01-01
10936,Mountaz,Schicker,F,d003,Human Resources,40000,9999-01-01
10921,Mara,Bahi,F,d004,Production,72601,9999-01-01
10924,Hironoby,Atchley,F,d007,Sales,84783,9999-01-01
10943,Berna,Skafidas,M,d005,Development,45890,9999-01-01
11112,Boaz,Mukaidono,M,d009,Customer Service,40000,9999-01-01
11113,Shahab,Peng,F,d001,Marketing,66401,9999-01-01
10965,Eckart,Braunschweig,M,d007,Sales,61654,9999-01-01
11121,Vugranam,Kakkad,F,d005,Development,40000,9999-01-01
11133,Nalini,Azulay,M,d006,Quality Management,40000,9999-01-01
11134,Sachar,Rajcani,F,d006,Quality Management,58731,9999-01-01
11137,Hugh,Luca,M,d005,Development,40000,9999-01-01
11139,Bogdan,Homond,F,d009,Customer Service,63596,9999-01-01
11146,Ishfaq,Masand,F,d007,Sales,96019,9999-01-01
11148,Zhanqiu,Botman,F,d003,Human Resources,56344,9999-01-01
10969,Premal,Noriega,M,d005,Development,40000,9999-01-01
11162,Kauko,Narlikar,F,d005,Development,69873,9999-01-01
10974,Muneo,Papsdorf,M,d005,Development,56005,9999-01-01
10986,Masako,Schiper,M,d005,Development,43900,9999-01-01
